"title","name","credit_hours"\
"AAAS 200","INTRO TO AAAS","3"\
"AAAS 204","BLACK ART IN AMERICA","3"\
"AAAS 300","WRITING BLACK LIVES","3"\
"ANTH 324","DOCUMENTARY PRODUCTION","3"\
"ARAB 263","SECOND YEAR ARABIC I","3"\
"ARAB 264","SECOND YEAR ARABIC II","3"\
"ARAB 301","THIRD YEAR ARABIC I","3"\
"ARAB 302","THIRD YEAR ARABIC II","3"\
"ARAB 354","CRIT ANALYSIS OF MEDIA ARABIC","3"\
"ARCH 225","INTRO ARCHITECTURAL THINKING","3"\
"ARCH 305","ARCH FOR NON-ARCHITECTS","3"\
"ARCH 311","HOUSTON ARCHITECTURE","3"\
"ARCH 345","FOUNDATIONS IN  ARCH I","3"\
"ARCH 346","FOUNDATIONS IN ARCH II","3"\
"ARCH 352","FOUNDATIONS IN ARCH III","3"\
"ARTS 103","CREATIVE 2-D DESIGN","3"\
"ARTS 165","BEGINNING SCULPTURE","3"\
"ARTS 225","BEGINNING DRAWING","3"\
"ARTS 230","COMICS AND SEQUENTIAL ART","3"\
"ARTS 280","HISTORY & AESTHETICS OF FILM","4"\
"ARTS 301","BEGINNING PAINTING","3"\
"ARTS 311","BEGINNING PRINTMAKING","3"\
"ARTS 327","DOCUMENTARY PRODUCTION","3"\
"ARTS 328","FILMMAKING I","3"\
"ARTS 432","FILM GENRE: THE WESTERN","3"\
"ASIA 201","NONVIOLENCE: RELIGIOUS/SECULAR","3"\
"ASIA 205","EAST ASIAN FOOD HISTORY","3"\
"ASIA 210","JAPANESE POP CULTURE","3"\
"ASIA 213","TRANSNATIONAL ART AND CULTURE","3"\
"ASIA 214","E ASIAN ART CULTURAL HERITAGE","3"\
"ASIA 218","EAST/NORTHEAST ASIA FILM HIST","3"\
"ASIA 219","MODERN JAPAN","3"\
"ASIA 221","LIFE OF PROPHET MUHAMMAD","3"\
"ASIA 222","WORLD AND SOUTH ASIA","3"\
"ASIA 223","SOUTH ASIAN STUDIES","3"\
"ASIA 224","A HISTORY OF THE SILK ROADS","3"\
"ASIA 229","MODERN EAST ASIA","3"\
"ASIA 232","RELIGIONS FROM INDIA","3"\
"ASIA 236","BUDDHISM AND SCIENCE","3"\
"ASIA 237","JAPANESE POETRY & PERFORMANCE","3"\
"ASIA 242","CHINA’S FOREIGN RELATIONS","3"\
"ASIA 243","PREMODERN CHINA","3"\
"ASIA 244","KOREA AND EMPIRES","3"\
"ASIA 255","MARTIAL ARTS FICTION AND FILM","3"\
"ASIA 260","ASIAN RELIGIOUS ENVIRONMENTS","3"\
"ASIA 282","TRANSNATIONAL ASIAN FOOD","3"\
