"title","name","credit_hours"\
"BUSI 007","VISITING RESEARCH","0"\
"BUSI 220","INTRO TO DESIGN AND INNOVATION","3"\
"BUSI 221","NEW ENTERPRISES: DISCOVERY","3"\
"BUSI 222","TECH PRODUCT DESIGN & DEV","3"\
"BUSI 223","MODELING FOR ENTREPRENEURS","3"\
"BUSI 224","BIAS AND MEDICAL DEVICE DESIGN","1"\
"BUSI 238","SPECIAL TOPICS","1 TO 4"\
"BUSI 305","FINANCIAL ACCOUNTING","3"\
"BUSI 310","LEADING IN ORGANIZATIONS","3"\
"BUSI 343","FINANCIAL MANAGEMENT","3"\
"BUSI 360","FOUNDER'S JOURNEY","1"\
"BUSI 361","ENTREPRENEURIAL COMMUNICATION","1"\
"BUSI 364","INNOVATION FOR SOCIAL IMPACT","3"\
"BUSI 369","NEW ENTERPRISES","3"\
"BUSI 371","PRODUCT DEVELOPMENT AND MGMT","3"\
"BUSI 374","OPERATIONS MANAGEMENT","3"\
"BUSI 380","MARKETING","3"\
"BUSI 390","STRATEGIC MANAGEMENT","3"\
"BUSI 395","DATA ANALYTICS","4"\
"BUSI 396","BUSINESS COMMUNICATION","3"\
"BUSI 401","FINANCIAL STATEMENT ANALYSIS","3"\
"BUSI 405","ISSUES IN FINANCIAL REPORTNG I","3"\
"BUSI 420","LEADERSHIP AND TEAMS","3"\
"BUSI 421","POWER, INFLUENCE & ORG CHANGE","3"\
"BUSI 422","NEGOTIATIONS & DECISION MAKING","3"\
"BUSI 430","MANAGEMENT ACCOUNTING","3"\
"BUSI 431","ADVANCED STRATEGIC MANAGEMENT","3"\
"BUSI 432","BUSINESS AND SOCIETY","3"\
"BUSI 433","TECH & INNOVATION STRATEGY","3"\
"BUSI 440","AUDITING","3"\
"BUSI 447","ADVANCED CORPORATE FINANCE","3"\
"BUSI 448","INVESTMENTS","3"\
"BUSI 449","DATA-DRIVEN INVESTMENTS LAB","3"\
"BUSI 450","DERIVATIVES","3"\
"BUSI 461","FINANCING THE STARTUP VENTURE","3"\
"BUSI 463","ENTREPRENEURIAL STRATEGY","3"\
"BUSI 464","SOCIAL ENTREPRENEURSHIP","3"\
"BUSI 465","STUDENT VENTURE FUND","3"\
"BUSI 469","LILIE NEW VENTURE CHALLENGE","3"\
"BUSI 477","SPECIAL TOPICS","1 TO 4"\
"BUSI 480","MARKETING ANALYTICS","3"\
"BUSI 491","ACCOUNTING THEORY","3"\
"BUSI 498","APPLIED BUSINESS EXPERIENCE","1"\
"BUSI 499","UG BUSINESS INDEPENDENT STUDY","1 TO 3"\
