"title","name","credit_hours"
"AAAS 200","INTRO TO AAAS","3"
"AAAS 300","WRITING BLACK LIVES","3"
"ANTH 200","INTRO TO STUDY OF LANGUAGE","3"
"ANTH 201","INTRO TO SOCIAL/CULTURAL ANTH","3"
"ANTH 203","INTRO BIOLOGICAL ANTHROPOLOGY","3"
"ANTH 205","INTRO TO ARCHAEOLOGY","3"
"ANTH 212","PERSPECTIVES ON MODERN ASIA","3"
"ANTH 302","ANTHROPOLOGICAL THEORY","3"
"ANTH 303","INTRO ARCHAEOLOGY SCIENCE","3"
"ANTH 304","JERKS, BULLIES, & TOXIC PEOPLE","3"
"ANTH 308","THE HISTORICAL IMAGINATION","3"
"ANTH 311","MASCULINITIES","3"
"ANTH 316","BLACK DECOLONIAL FEMINISMS","3"
"ANTH 318","CERAMICS AND SOCIETY","3"
"ANTH 320","CLIMATE CHANGE SOC. INEQUALITY","3"
"ANTH 321","SOCIAL LIFE OF DNA","3"
"ANTH 322","GLOBAL IM/MOBILITIES","3"
"ANTH 324","DOCUMENTARY PRODUCTION","3"
"ANTH 325","SOCIETY IN ANCIENT GREECE","3"
"ANTH 326","LAW, POWER AND CULTURE","3"
"ANTH 327","CULTURES OF DEMOCRACY","3"
"ANTH 335","ANTHROPOLOGY/CULTURAL CRITIQUE","3"
"ANTH 340","NEOLIBERALISM & GLOBALIZATION","3"
"ANTH 343","NEW RELIG MOVEMENTS IN AFRICA","3"
"ANTH 344","CITY/CULTURE","3"
"ANTH 345","ARCHAEOLOGY IN SOCIAL CONTEXT","3"
"ANTH 346","QUEER ARCHAEOLOGY","3"
"ANTH 347","THE U.S. AS A FOREIGN COUNTRY","3"
"ANTH 350","BAD LANGUAGE","3"
"ANTH 358","FOURTH WORLD:INDIGENOUS PEOPLE","3"
"ANTH 361","LATIN AMERICAN TOPICS","3"
"ANTH 362","ARCHAEOLOGICAL FLD TECHNIQUES","3"
"ANTH 363","ARCHAEOLOGY CITIES AND STATE","3"
"ANTH 366","SCIENCE, LOCAL AND GLOBAL","3"
"ANTH 371","MONEY AND EVERYDAY LIFE","3"
"ANTH 372","CULTURES OF CAPITALISM","3"
"ANTH 380","GLOBAL HEALTH JUSTICE","3"
"ANTH 381","MEDICAL ANTHROPOLOGY","3"
"ANTH 386","MEDICINE, FOOD, AND HEALTH","3"
"ANTH 389","ARCHAEOLOGY OF FOOD","3"
"ANTH 394","THE ARCHAEOLOGY OF SLAVERY","3"
"ANTH 395","CULTURES AND COMMUNICATION","3"
"ANTH 463","WEST AFRICAN PREHISTORY","3"
"ARAB 263","SECOND YEAR ARABIC I","3"
